link,pumps,pumps,pumps,pumps,pumps,pumps
id,P78,P78,P78,P79,P79,P79
properties,flow,energy,status,flow,energy,status
0 days 20:25:00,737.196007233957,227.02520128211864,1.0,737.196007233957,227.02520128211864,1.0
0 days 20:30:00,737.196007807125,227.02520143599077,1.0,737.196007807125,227.02520143599077,1.0
0 days 20:35:00,737.1960081819753,227.02520153662266,1.0,737.1960081819753,227.02520153662266,1.0
0 days 20:40:00,737.1960075691245,227.02520137209734,1.0,737.1960075691245,227.02520137209734,1.0
0 days 20:45:00,737.1960082446271,227.02520155344212,1.0,737.1960082446271,227.02520155344212,1.0
0 days 20:50:00,737.1960070659029,227.02520123700302,1.0,737.1960070659029,227.02520123700302,1.0
0 days 20:55:00,737.1960075461301,227.02520136592432,1.0,737.1960075461301,227.02520136592432,1.0
0 days 21:00:00,737.1960076039817,227.02520138145508,1.0,737.1960076039817,227.02520138145508,1.0
0 days 21:05:00,737.1960073179612,227.02520130467025,1.0,737.1960073179612,227.02520130467025,1.0
0 days 21:10:00,737.1960076807956,227.0252014020764,1.0,737.1960076807956,227.0252014020764,1.0
0 days 21:15:00,737.1960086258068,227.0252016557733,1.0,737.1960086258068,227.0252016557733,1.0
0 days 21:20:00,737.1960075052791,227.02520135495746,1.0,737.1960075052791,227.02520135495746,1.0
0 days 21:25:00,737.1960079667715,227.02520147884928,1.0,737.1960079667715,227.02520147884928,1.0
0 days 21:30:00,737.1960074258157,227.02520133362478,1.0,737.1960074258157,227.02520133362478,1.0
0 days 21:35:00,737.1960071286427,227.025201253846,1.0,737.1960071286427,227.025201253846,1.0
0 days 21:40:00,737.1960072838037,227.0252012955004,1.0,737.1960072838037,227.0252012955004,1.0
0 days 21:45:00,737.1960075346542,227.02520136284346,1.0,737.1960075346542,227.02520136284346,1.0
0 days 21:50:00,737.1960076904008,227.0252014046551,1.0,737.1960076904008,227.0252014046551,1.0
0 days 21:55:00,737.1960082717752,227.02520156073027,1.0,737.1960082717752,227.02520156073027,1.0
0 days 22:00:00,737.1960076655137,227.02520139797386,1.0,737.1960076655137,227.02520139797386,1.0
0 days 22:05:00,737.1960075328416,227.02520136235685,1.0,737.1960075328416,227.02520136235685,1.0
0 days 22:10:00,737.1960077143286,227.0252014110787,1.0,737.1960077143286,227.0252014110787,1.0
0 days 22:15:00,737.1960075964357,227.02520137942932,1.0,737.1960075964357,227.02520137942932,1.0
0 days 22:20:00,737.1960073450938,227.02520131195425,1.0,737.1960073450938,227.02520131195425,1.0
0 days 22:25:00,737.1960070400767,227.0252012300697,1.0,737.1960070400767,227.0252012300697,1.0
0 days 22:30:00,737.1960078483788,227.02520144706568,1.0,737.1960078483788,227.02520144706568,1.0
0 days 22:35:00,737.1960073202381,227.02520130528157,1.0,737.1960073202381,227.02520130528157,1.0
